post,label
"Drowning in job search advice from so called experts who never laid their hands on an ATS and never recruited in their life?

The pain is real!!

'Open to work' banner is desperate, says one, while the other says it's beneficial.

Who do you listen to? On what basis do you call one right and the other wrong?

Job search is extremely important and you HAVE to be right in the way in which you proceed.


📍Why should you believe I'm right about what I say?

🥇Certified Professional Resume Writer (CPRW) : CPRW is an assessment based certification awarded to those who meet the Gold standards of resume writing

🥈Career Coach who trained 1 Lakh+ individuals

🥉Recruited for several organizations

🏅Gained hands on experience on ATS as a part of Accenture, India.



Join me on a year long journey on Tealfeed as one of their top 100 global creators, where I help you with:

● Understanding job search
● Gaining cognizance of job search strategies
● Understanding ATSs and job boards
● Being equipped with the right tools

and a lot more!

What's more is that the first 1000 subscribers get FREE access for a limited time. 💸

So jump on the bandwagon and don't miss your chance to get cutting edge job search advice to catapult you into the next level of your career.⚡️

Link in the pinned comment. 🔥

#resume #career #job #jobsearch #work #tealfeed",career
"Don't fall for the trap of #freelancing at your initial #career.

It's looks very lucrative to make few thousands extra every month by freelancing at your initial career. But it can impede your career growth at later stages because of below reasons.

1. Most of the time when your #freelancing you don't learn new things you will use existing tech stack knowledge.

2. Most of the time you don't focus for quality, ex: unit testing, integration testing, code coverage etc.

3. You will burn out yourself by working day and night where payment is not made ontime.

Instead use initial career extra time to master the tech that your working on. Understand the problem in-depth and solve it. If you can switch to a good company the hike you receive will be much higher than what you can earn through freelancing.

let me know your thoughts in the comments section.

follow me and I will help you to clear your interview: Vasanth Bhat",career
This article makes a lot of sense to me. Being a generalists ( Jack of all trades in a highly specialized word) is not very easy. A winding career path still pays off.,career
"Many people currently working in FAANG started their career with WITCHA.

WITCHA supremacy >>> FAANG supremacy

#witcha #faang #work #success #career #linkedinlearning #technology",career
"INSEAD, MIT Sloan, Kellogg. Any MBA aspirant would love to get an admit from either of these top programs.

This candidate received an admit from all three. What did he choose? And why!?

The answer might surprise you.


Varnim worked with us last year through our complete application packages.

Over 6 long-drawn months, we helped him
- build out his story,
- identify his strengths and weaknesses, and accordingly find the best-fit schools
- find a way to tell his story in his own unique way, and
- practice multiple mock interviews to optimize his chances!

But it was not all hunky-dory.
- He struggled with getting his test scores. Took him multiple attempts
- A 1-year career gap for UPSC prep
- Chances of being characterised as just another Indian Male Engineer candidate

We did what we could - shoot our best shots. Some worked, some didn't.

At the end, Varnim ended up in another major question:

INSEAD or MIT Sloan or Kellogg!?

We didn't mind this doubt. :)

So what did he choose?

Check out the video to find out!
Link in the first comment!",career
"Today, a year a go, I decided to rejoin in APP. Reminiscing the hard decision between say goodbye from startup company or back to corporate lyfe.

I never regret to have a new path in every step of my career journey. As a generalist, I have been ups and downs faced the hard condition and decison and always challenge my capability to break my limit.

I choose my way, I choose my life what I would be. My position not that big not that small, and my life not that sweet not that bitter.

One hope that I will always keep on my life is ""That live in a good life is how to share a good things to other, whatever they looks at me, just do your best, sincere and be a good""

And now, let's be a good team to break our limit not for them but for ourself

kuddos
Thanks for your hard effort standing here with me Arief Firdaus Ahmad Fahrozi Lidia Gustira Raina Monica Chairul Andy Kusuma Agus Hermansyah 🥂

#team #share #career",career
"This episode of Lenny Rachitsky with Nikhyl Singhal (Meta, Google) is a must-watch for every #productmanager and #productleader who cares about having a high-impact, successful career.

I assume that will be ""everyone""! 😉

My takeaways from this rich interview are:

1) Marketing is the language of connecting #products to #people. 🦄 Thinking as a marketer is one of the most undervalued skills of product managers and leaders. Those product people who know how to think about not only what to #build, but how to sell it are exceptions and highly valued.

2) To foster the culture of #feedback & #growth, you need to celebrate such behaviors, particularly as a #seniorleader. 🎆 Next time someone provides you feedback, recognize that person in your team meeting and appreciate them for helping you grow. This will empower the team to provide feedback for you and each other.

3) Shadow of your #superpower is a thing! 🎭 An individual's weaknesses may be masked by their superpowers. In order to grow in your career you need to identify those weaknesses and address them.

4) One thing everyone should do is to ensure your work today and the career decisions you make serve your ""skip job"" -- the next role(s) you aim to have. 🚀 Sit down and write that story (Amazon press release format). If the story doesn't sound exciting, work on the gaps and re-write your story.

#productmanagement #careeradvice #careergrowth #CPO
Activate to view larger image,",career
"Accelerate Your Career with DevOps Training! Let's Dive into the World of Possibilities!

#career #training #devops #devopsengineer",career
"In today’s News Wrap, we ask: What’s key to long-term career growth?

Also in the News Wrap: Leading players in the hotel, airlines, tourism, and travel management space have seen a growth in headcount by 11% since January this year, and artificial intelligence (AI) will have a say on close to half of all advertising revenue worldwide by the end of 2023.

Thanks to Tanya Khanijow for her comment on job creation in the travel, tourism, and hospitality industry, Swati Paliwal for her insights on the use cases of AI in advertising, and Diksha Arora for sharing her tips on long-term career growth.

#EveningNewsWrap

Source:
The Economic Times (https://lnkd.in/g2N2Mzvr, https://lnkd.in/gqSu4bvZ)
https://lnkd.in/g7xbiYrW
https://lnkd.in/grfT65dM
https://lnkd.in/g2g5ym5t

✍️: Abhiraj Ganguli, Aanvi Kamdar, Rakshit Ravindranathan",career
"In today's data-driven world, organisations value data analysts who can dive into vast amounts of data to unravel brilliant insights & patterns. The dazzling world of data can also fetch you a lucrative salary package of Rs 15 lakh/annum & more. If you are keen to power your career to a data-driven leadership role, check out the versatile professional digital transformation courses from #Emeritus 
https://bit.ly/3qx7h0h

#Emeritus #Leadership #career",career
"Learner-Centred Design is a novel method of creating educational programs that put students at the centre of the learning process. It emphasizes adapting content to individual learners, encouraging participation, and building a dynamic learning environment. It also encourages critical thinking, problem-solving, and student autonomy. This article examines the core ideas and benefits of Learner-Centered Design.
#Curriculum #LearnerCentric #StudentFocused #learning #environment #students #building #content #CriticalThinking #StudentDriven #EmpoweredLearning #EngagingEducation #CriticalThinking #design",education
"Which programming language do you prefer? 🫶🏻

As you start your journey into programming, get ready to dive into a world full of exciting discoveries. You'll encounter many concepts, languages, and frameworks that will expand your horizons and open up new possibilities. ⭐️

As you dive deeper into programming, you'll discover that there's always something new to learn. New languages and frameworks emerge, existing ones evolve, and innovative concepts and techniques are introduced. 🙌🏻

Embrace the opportunity to explore and experiment with these tools and ideas. Through this ongoing exploration, you'll grow as a programmer and stay up-to-date with the latest trends in the ever-changing programming landscape.🎉

Remember, the possibilities are endless, and there's always something new and exciting waiting for you in the programming world.💚

Did you know this? Let us know in the comment section. 👇🏻

#education #learning #technology #w3schools",education
"The data scientist doesn’t work solo. In fact, the most effective data science is done in teams. In addition to a data scientist, this team might include a business analyst who defines the problem, a data engineer who prepares the data and how it is accessed, an IT architect who oversees the underlying processes and infrastructure, and an application developer who deploys the models or outputs of the analysis into applications and products.
#datascience
#dataanalyst
#dataanalytics
#dataanalyst",education
"Robot dog critiques art after analyzing pieces using artificial intelligence

There’s a new critic on the art scene - a robotic dog.
AICCA - Artificially Intelligent Critical Canine - is able to analyze artworks and print out its ‘thoughts’ about the pieces under its tail in real-time thanks to artificial intelligence.

Mario Klingemann created the dog to spark a debate about the use of AI.
“One could think that I have a grudge against art critics building a dog that poops critiques, but no, actually I think art critics play a very important role... A bad critique is always better than none at all,” the German #artist said.

#ai #artificialintelligence #art #robots #robodog #germany #german #building",education
"Unleashing the Python Power in Bitcoin Mining! 💰🐍""

Python, the versatile programming language, has found its way into the exciting world of Bitcoin mining.

With its simplicity and efficiency, Python empowers enthusiasts to dive into the realm of cryptocurrency and mine Bitcoins.

From writing efficient algorithms to analyzing blockchain data, Python becomes the ultimate tool to navigate the complexities of mining.

So, get ready to harness the power of Python and unlock the potential of Bitcoin mining with elegant code and endless possibilities! ⛏️🚀

✅Book a 🆓free one-on-one 👩‍🎓Career #Counseling with #Skillslash 👩‍💼experts 📌https://lnkd.in/djYXHUVV

👉Follow https://lnkd.in/gpU8MRac for more informative posts on #datascience

#skillslashacademy #degreevexperience #PythonCode #BitcoinMining #Cryptocurrency #Blockchain #ElegantSolutions #UnleashThePower",education
"MySQL Join Types 👩‍💻

🔗 Are you familiar with the various types of joins available in MySQL and how they can revolutionize your database queries? Get ready to level up your SQL skills! 🎉📷

I'm excited to share this informative photo showcasing the different MySQL Join Types! 📚💻 It highlights the join operations that you can apply in MySQL, empowering you to extract valuable insights from your database with precision and efficiency. 💪🔗

🔑 Joining tables is a fundamental aspect of SQL, and understanding the different join types is crucial for successful data retrieval and analysis. This photo presents a comprehensive overview of join operations, including inner join, left join, right join, and full outer join, equipping you with the knowledge to leverage these techniques effectively. 💡🔢

💼 Share this photo with your colleagues, friends, and fellow SQL enthusiasts to deepen their understanding of MySQL join types. Let's create a vibrant community of data professionals who can collaborate and exchange insights to optimize their database queries. Together, we can conquer complex data challenges and unlock the full potential of MySQL! 🌐🤝

👉 Have you applied these MySQL join types in your projects? How have they enhanced your data analysis or improved your query performance? Share your experiences and tag your peers who would greatly benefit from this valuable resource. Let's continue to expand our SQL knowledge and harness the power of joins in MySQL! 💻🚀

Credits to: https://pin.it/KzwFRzC

#MySQLJoinTypes #SQLJoinOperations #DatabaseQuerying #DataAnalysis #SQLSkills #DataRetrieval #SQLQueryPerformance #DataProfessionals #MySQLCommunity",education
"CHATGPT HAS A LIMIT HERE ARE 8 AI TOOLS THAT HAVE NO LIMIT ⛔⛔


IT IS USEFUL TO LEARN AI TOOL


➡️ What is artificial intelligence (AI)?

Artificial intelligence is the simulation of human intelligence processes by machines, especially computer systems. Specific applications of AI include expert systems, natural language processing, speech recognition, and machine vision.

➡️ How does AI work?

As the hype around AI has accelerated, vendors have been scrambling to promote how their products and services use it. Often, what they refer to as AI is simply a component of technology, such as machine learning. AI requires a foundation of specialized hardware and software for writing and training machine learning algorithms. No single programming language is synonymous with AI, but Python, R, Java, C++, and Julia have featured popular with AI developers.


➡️ In 2023 Artificial intelligence will boom the industry and update your skills in new technology


Kindly #Reshare if it is useful to you and
Save it



Follow 👉 Harish Kumar😊 more stuff



Source: AI -updates
#java #technology #software #artificialintelligence #machinelearning #ai #python #programming #intelligence #sql #cprogramming",education
"Can computer vision help with optimizing packaging?

The presentation of this system claims that after scanning the size, the system automatically calculates the cardboard requirements, and the data goes to the packaging machine.

Knowing a limited package size, is this really solving the problem? Computer vision might be more relevant to detect fragile parts of an object.

What do you think?

—
✔️ I share daily content about AI and how to turn data into growth and business impact. Don't forget to click ""Follow"" on my profile!

Credit: Sparck Technologies",education
"The 21st century has witnessed the emergence of various groundbreaking technologies that have revolutionized the way we live, work, and interact with the world around us. 🌏 🌐

Here are some of the top emerging technologies of the 21st century 🤳:-

👉 Artificial Intelligence (AI): Intelligent machines that perform human-like tasks, transforming industries.

👉 Internet of Things (IoT): Connecting everyday objects to the internet, enabling data exchange and automation.

👉 Blockchain: Decentralized and secure digital ledger for transparent transactions.

👉 Virtual and Augmented Reality (VR/AR): Immersive technologies enhancing gaming, education, and visualization.

👉 Quantum Computing: Supercomputing technology for complex problem-solving.

👉 5G: Next-generation wireless communication technology with higher speeds, lower latency, and increased capacity.

👉 Web 3.0: Decentralized, interconnected, intelligent web with enhanced user experiences and trust.

👉 Cybersecurity: Measures and practices to protect digital systems and data from unauthorized access, attacks, and threats.

👉 DevOps: Collaborative approach merging development and operations teams to streamline software delivery and enhance efficiency.

👉 Game Dev: Creating interactive video games through design, programming, and production, requiring creativity and technical skills.

👉 Web App Development: Building browser-based applications for the internet, utilizing web technologies for functionality and accessibility across devices.

👉 Voice Tech: Technology that enables interaction with devices and systems using spoken commands or natural language, enhancing convenience and accessibility.

👉 RPA: Robotic Process Automation - Automating tasks and processes using software robots, improving efficiency and productivity.

👉 Analytics: The process of examining data to uncover patterns, trends, and insights that inform decision-making and drive business outcomes.

👉 Big Data: Large volumes of structured and unstructured data are collected from various sources, requiring specialized tools and techniques for storage, analysis, and deriving insights.

👉 Cloud Computing: Utilizing remote servers and networks to store, manage, and process data and applications, providing on-demand access, scalability, and cost-efficiency.

These technologies are driving innovation and addressing global challenges.

#blockchain #business #innovation #ai #technology #design #work #data #education #cybersecurity #digital #development #augmentedreality #tech #artificialintelligence #communication #internetofthings #iot #5g #computing #scalability #automation #software #like #productivity #analytics #devops #cloudcomputing #programming #building #creativity #gaming #visualization #visualization #language #rpa #robots #videogames #bigdata",education
"Topic: Uncovering Insights through Visual EDA and Sentiment Analysis of ChatGPT Tweets using Machine Learning and Deep Learning Algorithms

Link to get code and dataset: https://lnkd.in/ds6YZEUR (also in comment section)

Key points:
1. Importing Necessary Libraries
2. Loading Data
3. Exploratory Data Analysis
4. Data Preprocessing - Cleaning the corpus , Stemming , All together , Target encoding
5. Feature Extraction
6. Data Visualization
7. Sentence Length and Count Weighted Average
8. Sentence Length Distribution
9. Number of Activity per hour period of the day
10. Time of the day most Tweeted
11. Sentiment Distributions
12. Wordcloud of Sentiments
13. Vectorization
14. Modeling
15. Logistic Regression
16. Decision Tree / Random Forest
17. XGBoost / Multinomial Naive Bayes
18. CNN + LSTM + Logistic (Hybrid Modelling)
19. BERT Modeling and Deployment over web",education
"Decode AI 👇
Intelligence = Data Collection + Learning from Data
Now, let's explore : analogy 𝐇𝐮𝐦𝐚𝐧 𝐁𝐫𝐚𝐢𝐧 ~ 𝐀𝐈 𝐬𝐲𝐬𝐭𝐞𝐦

✍ Modern AI system successfully translate knowledge from Eye Data(Vision), Ear Data (Speech Recognition) and Interpret those (NLP)
✍ Smell, Touch and Taste difficult (not impossible) to achieve compared to the above, because Light and Sound are form of energy and can be stored and processed in electrical signal.


Disclaimer! I should clarify that I am not a cognitive scientist. My expertise lies more in the practical applications of cognitive services within business data (audio, video, text) and building AI driven decision making and automation. This is an attempt to reverse engineer an analogy from cognitive services to cognitive science.

👇 Images can be reused with the author's permission Balaram Panda
#nlp #automation #data #business #ai #engineer #intelligence #cognitivescience",education
"""Excited to share our latest blog post on, 'Designing for Success: How Industrial Automation is Transforming Engineering Design in the Age of Smart Manufacturing'.

In this post, We explored the impact of industrial automation on engineering design and how it's enabling smart manufacturing. Check it out and let me know your thoughts in the comments below! #IndustrialAutomation #SmartManufacturing #EngineeringDesign #CAD #CAM"" #designagency #machinery #industry40 #manufacturingindustry #mechanicaldesign #share #engineering #industrialdesign",education
"""Driving Innovation: Exploring the Growing Landscape of Automotive Engineering Services Market""

Get Free Sample PDF@ https://lnkd.in/dCyfHAa3


Capgemini, IAV Automotive Engineering, Inc. Bertrandt Group L&T Technology Services, Altran Continental AG, EDAG Engineering Polska Tech Mahindra, HCL Technologies Ltd 

#automotive_engineering_services_market
#automotive_engineering_services ",education
"Experience the revolutionary impact of TEXSPIN®️ Clutch Actuation Technology on automotive engineering. Introducing CSC technology, a groundbreaking solution that surpasses conventional mechanical systems with its lightweight design. Effortlessly control your pedals and indulge in a seamless driving encounter. Enjoy a refined and sophisticated experience that elevates comfort to new levels. TEXSPIN®️ Clutch Actuation Technology is the ultimate innovation for automotive enthusiasts.

#clutchbearing #csc #clutch #Texspin #bearings #bearingmanufacture #bearingsdesign #Industries #Automotive #MadeInIndia #CommercialVehicles #vehicles #bearingsindustry #IndianManufacturing #MadeForTheWorld #technologyproducts #innovation #india #cars #Inventors #Innovators #Sustainability #autopart #clan #anythingispossible #anything_is_possible_clan #everythingispossible #everything_is_possible_clan #texspinclan #jointhetexspinclan",education
"🎓 PhD Admission (Full Time/Part time/Sponsored) Open at School of Computer Science Engineering & Technology , Bennett University, The Times Group! 🎓
We are thrilled to announce that PhD admissions are now open at the School of Computer Science and Engineering and Technology (SCSET), Bennett University.
🎁 Scholarships Available! 💰
For full-time candidates, we are delighted to offer a scholarship of up to ₹40,000! This financial support will enable you to focus on your research and academic pursuits without any worries.
Bennett University is renowned for its world-class faculty, cutting-edge research facilities, and a vibrant academic community. By becoming a part of our esteemed institution, you will have access to an unparalleled learning environment and countless opportunities for personal and professional growth.
🔗 Admission Link: https://lnkd.in/eiNmZcj6
#PhDAdmissions #ScholarshipOpportunity #HigherEducation #BennettUniversity #SCSET #ResearchExcellence #Innovation #MoveWithTimes #university #universities #phd",education
"Developed a Simple Electric Vehicle Simulator with supported communication on a Commercial DC Charger (CCS Combo2). Our research group at Ecole Centrale School of Engineering at Mahindra University, Hyderabad, is Working on the Development of a Low-Cost EV Simulator for Commercial charger testing for full/overload conditions. A sample video glimpse is attached ( Connection Check)- Communication of PLC follows...",education
"If you are an educational researcher, you know how important it is to conduct a literature search and manage your references for your projects. But do you know how to do it effectively and efficiently? In this article, you will learn some of the best practices for conducting a literature search and managing your references, such as defining your scope and keywords, using multiple databases and search strategies, evaluating and selecting your sources, organizing and synthesizing your sources, and managing and citing your references. These practices will help you find, organize, and cite relevant sources that support your research question and objectives. What are some of the challenges or tips that you have encountered or learned while conducting a literature search and managing your references?",education
"Dear Readers 😊 ,
""A beginner's guide for unleashing your potential for UPSC Engineering Services Examination"" is here to help you crack the UPSC ESE. From exam insights to study strategies, I provide valuable tips for effective preparation. Let's engineer our path to success!
Best regards,
Er. Milan Dileep Kumar
#engineer #help #engineering #success #engineeringservices",education
"Not sure how to Start Preparing for UPSC? Here is a Head-Start


#iaspreparation #iasexam #upscexam #civilservicesexam #iascoachings",education
" Seeking Answers for Your Study Abroad Journey? 🎓

Are you wondering about the distinction between an MBA and a Master's degree? Let me assist you in finding the answers!

Enroll at MOWE Abroad and discover valuable insights in the enlightening video below, expertly presented by Harshita Gulati Kansal

Moreover, if you're still in pursuit of knowledge regarding your study abroad plans, I'm here to help!

🌟 Feel free to reach out to me or connect with Harshita Gulati Kansal for an exclusive, personalized 1:1 session at MOWE Abroad.

Video and Editing Credits : Harshita Gulati Kansal ; Pranjali Nand

#StudyAbroad #MBAorMasters #EducationInsights #PersonalizedSession #MOWEAbroad #mba",education
