,User ID,Sex,Age-group,Occupation,Company Name,City,Zipcode,Education,Specialization,Job,Career Development,Personal Growth,Educational Content,Healthcare
62,uid000063,M,20-25,it_manager,"Ramirez, Rodriguez and Reid",Smithfurt,7917,MTech,Cloud Computing,1,1,0,0,0
63,uid000064,M,35-40,chef,Christian Ltd,West Amyfort,43047,Culinary School Diploma,Bakery and Pastry,0,0,0,0,0
64,uid000065,F,35-40,doctor,Young and Sons,New Patrickhaven,93899,MD,Pediatrics,1,1,1,1,0
65,uid000066,F,25-30,quality_assurance_analyst,Durham Inc,Dannyfort,75968,BE,Mobile App Testing,0,1,1,1,1
66,uid000067,F,30-35,psychologist,"Wiley, Meyer and Charles",North Daniel,8366,MA Psychology,Research Psychology,1,1,0,1,0
67,uid000068,M,35-40,business_analyst,Sullivan LLC,Andersonmouth,39619,MBA,Business Intelligence,1,0,0,0,1
68,uid000069,M,35-40,architect,Woods Group,Wilcoxshire,82079,BArch,Civil Engineering,0,0,0,0,1
69,uid000070,F,35-40,research_assistant,Bartlett LLC,Danielville,23828,PhD,Chemistry,0,1,0,1,0
70,uid000071,M,35-40,teacher,Harrison Ltd,Hensleyfurt,96088,BEd,Physical Education,1,1,0,1,1
71,uid000072,F,20-25,marketing_manager,Hill-Aguirre,Josephland,96768,MBA,Market Research,0,1,0,1,1
72,uid000073,F,25-30,architect,Clark and Sons,Jamesside,43927,BArch,Civil Engineering,1,0,1,1,0
73,uid000074,M,25-30,it_manager,"Wright, Morris and Waters",Johnberg,95963,BE,Information Security,1,0,1,0,0
74,uid000075,M,30-35,journalist,Johnson PLC,Edwardview,43150,MA Journalism,Political Journalism,0,1,1,1,1
75,uid000076,M,30-35,financial_analyst,Trujillo-Williams,East Samantha,76051,MBA,Risk Management,0,0,1,0,1
76,uid000077,M,20-25,product_manager,Davis PLC,Vaughnhaven,33591,MBA,Product Strategy,0,1,1,0,1
77,uid000078,M,40-45,nurse,Booth-Gray,East Mary,1656,BSN,Healthcare,1,0,1,1,1
78,uid000079,M,40-45,events_planner,"Davidson, Mcguire and Evans",Sparksville,86473,Event Management Certification,Venue Management,0,0,1,1,0
79,uid000080,M,40-45,graphic_designer,Cooper Group,Lake Ashley,52923,BFA,Web Design,0,0,1,1,1
80,uid000081,M,30-35,psychologist,Finley Ltd,Lake Drew,97188,BA Psychology,Neuropsychology,0,0,1,0,0
81,uid000082,F,40-45,financial_analyst,Baker Ltd,Jonesshire,18652,BBA,Financial Modeling,1,1,1,0,0
82,uid000083,M,20-25,software_engineer,"Bryant, Wallace and Booth",Smithhaven,51819,MTech,Software Testing,0,0,0,0,1
83,uid000084,F,40-45,electrician,"Beck, Wolf and Sanchez",Port Michellechester,74427,ITI Electrician,Power Systems,1,1,1,1,0
84,uid000085,M,20-25,mechanical_engineer,"Clark, Bradshaw and Kelly",Jonesstad,84344,BTech,Mechanical Design,0,1,1,0,0
85,uid000086,M,30-35,chef,Ford-Patton,Morenoberg,64461,Culinary School Diploma,International Cuisine,1,1,0,1,0
86,uid000087,F,35-40,events_planner,Savage Inc,West Stephen,37059,Event Management Certification,Event Marketing,1,1,1,1,0
87,uid000088,M,30-35,teacher,Price Group,Lake Angela,45139,MEd,Elementary Education,0,0,1,1,0
88,uid000089,M,40-45,product_manager,"Cobb, Rios and Mitchell",Bishopmouth,79697,BBA,Agile Product Management,1,0,0,0,1
89,uid000090,F,20-25,marketing_manager,Huang-Ali,West Mary,30184,MBA,Social Media Marketing,1,0,0,0,0
90,uid000091,F,30-35,doctor,"Patrick, Franklin and Cruz",East Michelleview,26924,MBBS,Ophthalmology,1,1,0,0,0
91,uid000092,M,35-40,athlete,Hughes PLC,New Kevin,14936,Sports Training,Sports Psychology,1,1,1,1,0
92,uid000093,M,25-30,electrician,Lara-Woods,North Joyceton,45206,ITI Electrician,Electrical Wiring,0,1,1,0,1
93,uid000094,F,30-35,entrepreneur,Phillips and Sons,Logantown,33243,Diploma,Marketing,0,0,0,1,0
94,uid000095,M,20-25,it_manager,"Stone, Cruz and Foster",Hansontown,17821,MTech,Information Security,0,1,1,1,1
95,uid000096,M,35-40,entrepreneur,Wilson-Solis,Molinafurt,1725,BBA,Entrepreneurship,0,1,0,1,1
96,uid000097,M,30-35,nurse,Graves-Caldwell,Davidsonhaven,33382,Diploma,Nursing,1,0,1,0,1
97,uid000098,M,35-40,financial_analyst,Robinson PLC,North William,51878,MBA,Portfolio Management,1,1,1,1,1
98,uid000099,F,35-40,it_manager,Bradley Inc,Lake Michaelhaven,57164,BE,Cloud Computing,1,1,1,1,1
99,uid000100,M,30-35,lawyer,Cantu-Macias,New Robert,73690,JD,Civil Rights Law,0,1,0,0,0
100,uid000101,M,25-30,teacher,Mccormick-Sheppard,Steinton,2791,BEd,Science Education,0,0,0,1,1
101,uid000102,F,25-30,lawyer,Malone-Rodriguez,North Kimberly,12452,LLB,Environmental Law,0,1,0,0,0
102,uid000103,M,30-35,nurse,Moore-Robertson,Zimmermanview,82923,Diploma,Nursing,0,1,0,1,1
103,uid000104,F,20-25,product_manager,Miller Inc,Peterstown,30926,BBA,User Experience (UX) Design,1,1,0,0,0
104,uid000105,M,40-45,marketing_manager,"Walker, White and Hancock",Davisview,41450,BBA,Advertising,0,0,0,0,1
105,uid000106,M,35-40,research_assistant,"Burke, Williamson and Webster",Port Robertmouth,54045,MS,Biology,0,1,1,1,0
106,uid000107,M,30-35,architect,Garcia-Dunn,Brownside,18059,MArch,Architecture,1,1,0,1,1
107,uid000108,M,25-30,marketing_manager,"Mcneil, Leon and Medina",North Brandy,96167,MBA,Marketing Strategy,1,0,0,0,0
108,uid000109,M,35-40,quality_assurance_analyst,"Herrera, Lowe and Rojas",New Jimmy,95661,BE,Web Application Testing,0,1,1,0,0
109,uid000110,M,30-35,lawyer,"Ramos, Duncan and Cooper",East Glenn,87049,JD,Tax Law,0,0,0,1,1
110,uid000111,F,25-30,quality_assurance_analyst,"Smith, Welch and Jones",Sheliashire,76184,MTech,Performance Testing,1,1,0,1,1
111,uid000112,F,25-30,student,Steele Group,Edwardborough,43077,BE,Biomedical Engineering,0,0,0,1,0
112,uid000113,M,30-35,business_analyst,Johnson-Jones,New Jessicatown,20350,MBA,Risk Assessment,1,0,1,1,0
113,uid000114,M,35-40,it_manager,Richardson-Lee,Lawrenceberg,99562,BTech,IT Infrastructure Management,1,1,0,1,1
114,uid000115,M,35-40,graphic_designer,Peterson Ltd,East Jared,17563,Diploma,Packaging Design,0,0,1,0,0
115,uid000116,M,25-30,architect,Jenkins Inc,Port Brandyport,34964,MArch,Architecture,1,0,0,0,1
116,uid000117,M,25-30,lawyer,Mitchell-Benton,Williamsside,71413,LLB,Corporate Law,1,0,0,1,1
117,uid000118,F,30-35,product_manager,Gilbert Group,New Jenniferstad,65372,BBA,Product Strategy,0,0,0,0,1
118,uid000119,M,25-30,financial_analyst,Hendricks-Johnson,South Cynthia,5247,BBA,Valuation,1,0,1,1,1
119,uid000120,M,30-35,student,Garcia Ltd,Jameshaven,87260,MTech,Information Technology,0,1,1,0,1
120,uid000121,M,35-40,social_worker,Chapman-Miller,Staceyburgh,3973,BBA,Substance Abuse Counseling,1,0,0,1,0
121,uid000122,F,40-45,lawyer,"Guerrero, Morgan and Velasquez",Lake Jeffreyfort,65879,JD,Intellectual Property Law,0,1,1,1,1
122,uid000123,F,30-35,psychologist,Robinson Group,Danielleshire,78406,BA Psychology,Neuropsychology,1,1,1,1,0
123,uid000124,M,40-45,software_engineer,Anthony PLC,Lindastad,94583,BE,Artificial Intelligence,0,0,1,0,1
124,uid000125,M,30-35,journalist,"Barber, Kidd and Rosario",Mendezbury,18175,MA Journalism,Investigative Journalism,0,0,1,1,1
125,uid000126,F,25-30,psychologist,"Jones, Marshall and Smith",Stephanieton,95632,MA Psychology,Forensic Psychology,1,0,0,0,1
126,uid000127,M,35-40,entrepreneur,Williams Inc,Melendezland,25093,BBA,Management,0,1,1,0,1
127,uid000128,M,40-45,lawyer,Petersen Ltd,Andersonfort,40905,LLB,Corporate Law,0,1,0,1,1
128,uid000129,F,40-45,athlete,Rodriguez Group,Lake Shelly,79589,Sports Training,Sports Nutrition,0,0,1,1,1
129,uid000130,F,25-30,doctor,Hall-Young,Michaelshire,75792,MD,"ENT (Ear, Nose, and Throat)",0,0,0,1,0
130,uid000131,F,30-35,marketing_manager,Miller-Young,Brooksport,73776,BBA,Public Relations,0,1,1,0,1
131,uid000132,M,40-45,graphic_designer,Phillips Group,New Thomas,21041,BFA,Illustration,0,0,0,1,0
132,uid000133,F,35-40,journalist,Davis and Sons,Lake Teresaview,7741,MA Journalism,Business Journalism,1,0,1,1,1
133,uid000134,F,20-25,social_worker,Garcia and Sons,Williamsmouth,12121,BA,Policy Advocacy,1,1,1,0,0
134,uid000135,M,30-35,financial_analyst,Daniels-Nguyen,North Jaclynshire,28451,BBA,Derivatives Analysis,0,1,1,0,1
135,uid000136,M,25-30,business_analyst,"Sullivan, Miller and Smith",Christinachester,21983,BBA,Data Analysis,0,0,0,1,1
136,uid000137,F,20-25,lawyer,Taylor-Raymond,Port Cynthiastad,91570,LLB,Criminal Law,0,1,0,1,1
137,uid000138,M,25-30,research_assistant,Shelton-Deleon,Nicholebury,9539,PhD,Biology,1,1,1,0,1
138,uid000139,F,30-35,graphic_designer,Quinn-Watkins,Tammychester,69582,BFA,Web Design,0,1,1,1,1
139,uid000140,M,25-30,electrician,Morales-White,New Maryshire,91510,ITI Electrician,Renewable Energy,0,1,0,0,1
140,uid000141,M,35-40,data_analyst,Johnson PLC,Lawsonville,13246,BTech,Social Network Analysis,0,1,0,1,1
141,uid000142,F,35-40,electrician,"Stewart, Roy and Sandoval",Dennisbury,58078,ITI Electrician,Renewable Energy,0,0,1,1,1
142,uid000143,M,40-45,financial_analyst,Richardson-Robinson,South Hayley,7753,MBA,Valuation,0,1,1,0,0
143,uid000144,F,35-40,electrician,Thomas Ltd,West Thomas,49803,Diploma,Electrical Wiring,1,0,1,1,1
144,uid000145,M,35-40,athlete,Blair LLC,Bradyview,11725,Sports Training,Sports Psychology,0,0,1,0,0
145,uid000146,F,35-40,events_planner,Howard PLC,Tracyfurt,85958,Event Management Certification,Event Marketing,1,1,0,0,0
146,uid000147,F,35-40,student,Wilson LLC,Santiagostad,1613,MTech,Civil Engineering,0,1,0,0,0
147,uid000148,F,20-25,financial_analyst,Boyle Ltd,South Arthur,70979,BBA,Risk Management,0,0,1,1,0
148,uid000149,M,30-35,social_worker,"Frank, Malone and Rose",Dillonmouth,81149,BBA,Substance Abuse Counseling,0,1,1,0,0
149,uid000150,F,30-35,it_manager,Cardenas-Lopez,Roseview,82250,MTech,Information Security,1,0,0,0,1
150,uid000151,M,40-45,it_manager,Jones-Ford,Taylorberg,31123,MTech,Network Administration,0,0,1,1,0
151,uid000152,M,30-35,chef,"Goodman, Molina and Moore",South Jessica,21112,Culinary School Diploma,International Cuisine,1,1,0,1,1
152,uid000153,F,25-30,data_analyst,Jefferson and Sons,North Ronald,70940,BE,Financial Analysis,0,1,1,0,1
153,uid000154,M,30-35,psychologist,Jones-Reid,Adamsport,66283,BA Psychology,Counseling Psychology,0,1,0,0,0
154,uid000155,M,20-25,graphic_designer,Acosta-Cook,South Nicole,55029,BFA,Illustration,0,0,1,1,0
155,uid000156,F,20-25,quality_assurance_analyst,Brown-Kelly,North Mark,79812,MTech,Test Documentation,1,0,1,1,1
156,uid000157,F,35-40,lawyer,"Bailey, Ward and Ramirez",Juliestad,54791,JD,Labor Law,0,1,1,1,1
157,uid000158,M,20-25,data_analyst,Schultz-Martin,Mckinneybury,57763,BTech,Data Visualization,1,1,1,0,0
158,uid000159,M,20-25,software_engineer,Clark-Morgan,East Lori,66257,MTech,Artificial Intelligence,1,1,1,1,1
159,uid000160,F,40-45,psychologist,"Williams, Donovan and Young",Lake Lisa,59020,MA Psychology,Educational Psychology,1,0,0,1,1
160,uid000161,M,30-35,graphic_designer,"Spencer, Murphy and Carr",Port Williammouth,21928,BFA,Advertising Design,1,1,0,1,1
161,uid000162,M,20-25,chef,"Murphy, Davis and Rojas",West Monicamouth,14581,Culinary School Diploma,Bakery and Pastry,0,0,1,1,0
162,uid000163,M,25-30,journalist,Smith-Martin,Lake Diane,55607,BJMC,Photojournalism,0,1,0,1,1
163,uid000164,M,30-35,data_analyst,"Cruz, Wilson and Rodriguez",North Miguel,82395,MTech,Big Data Analytics,0,0,0,1,0
164,uid000165,F,30-35,doctor,Garrett Group,Woodshire,27783,MD,General Medicine,1,1,0,1,1
165,uid000166,F,30-35,lawyer,Barnes Inc,Freyborough,20788,LLB,Family Law,1,0,0,0,0
166,uid000167,F,20-25,software_engineer,"Holloway, Morris and Austin",East Jamesview,56729,BTech,Software Testing,0,0,0,1,0
167,uid000168,M,40-45,psychologist,"Barnes, Potts and Park",New Lauren,38677,MA Psychology,Forensic Psychology,1,1,1,1,1
168,uid000169,F,35-40,graphic_designer,"Mitchell, Russell and Gray",Millerburgh,17461,BFA,Logo Design,1,1,0,0,1
169,uid000170,M,40-45,student,"Garcia, Jones and Lewis",Greenstad,36430,BE,Mechanical Engineering,1,1,1,1,0
170,uid000171,F,25-30,electrician,"Pugh, Strickland and Gibson",Gabrielletown,15150,ITI Electrician,Electrical Wiring,0,0,0,1,0
171,uid000172,M,20-25,financial_analyst,Silva Ltd,South Sarahhaven,15656,MBA,Valuation,1,1,0,0,0
172,uid000173,F,20-25,quality_assurance_analyst,Davis Ltd,Port Matthewville,35210,BTech,Performance Testing,0,1,1,0,0
173,uid000174,M,35-40,nurse,Vargas-Mitchell,South Tiffanyburgh,65738,BSN,Nursing,1,0,1,0,1
174,uid000175,M,40-45,athlete,Craig-Thompson,Taraborough,77908,Sports Training,Sports Psychology,1,1,1,1,0
175,uid000176,F,35-40,psychologist,"Rodgers, Flynn and Benitez",West Andrew,54060,BA Psychology,Child and Adolescent Psychology,0,0,0,1,1
176,uid000177,M,30-35,data_analyst,Shaw LLC,Reidhaven,50776,MTech,Social Network Analysis,0,1,1,1,0
177,uid000178,F,35-40,social_worker,"Zuniga, Kim and Davis",Zimmermanville,91441,BBA,Medical Social Work,1,0,0,0,1
178,uid000179,M,20-25,social_worker,"Griffin, Silva and May",West Laurenberg,61544,BBA,Gerontology,1,1,0,1,0
179,uid000180,F,40-45,teacher,Fox-Russell,Port Patrick,15047,MEd,Foreign Language Education,1,1,1,1,0
180,uid000181,F,35-40,electrician,Pollard-Thomas,Caitlinland,34066,Diploma,Power Systems,0,1,1,0,1
181,uid000182,F,20-25,product_manager,Church-Young,North Thomasview,35596,MBA,User Experience (UX) Design,1,0,1,0,0
182,uid000183,M,25-30,architect,Young Ltd,Port Kathrynville,76078,MArch,Civil Engineering,1,0,0,1,1
183,uid000184,M,25-30,student,"Carr, Bryan and Aguilar",Montgomeryland,4425,MTech,Biomedical Engineering,1,1,0,1,1
184,uid000185,M,35-40,student,"Gutierrez, Robles and Vega",East Benjamin,80085,MTech,Mechanical Engineering,0,1,1,1,1
185,uid000186,M,40-45,doctor,"Singleton, Miles and Tran",South Jackietown,75840,MBBS,Cardiology,1,0,1,0,1
186,uid000187,M,35-40,marketing_manager,Taylor LLC,Grahambury,73226,MBA,Product Management,1,0,0,1,0
187,uid000188,F,25-30,athlete,"Hall, Stewart and Frank",North Pamela,70077,Sports Training,Sports Training,1,1,1,1,1
188,uid000189,F,30-35,product_manager,Morton Ltd,Davidville,82478,MBA,User Experience (UX) Design,0,0,0,1,0
189,uid000190,M,25-30,electrician,Cole-Torres,East Roy,33192,Diploma,Renewable Energy,1,1,0,0,1
190,uid000191,M,40-45,research_assistant,Simmons Ltd,Lake Taraburgh,69146,PhD,Chemistry,0,1,0,0,0
191,uid000192,F,35-40,marketing_manager,Hutchinson Group,Dixonland,56755,BBA,Advertising,0,1,0,0,0
192,uid000193,F,20-25,research_assistant,"Wilson, Scott and Garrett",West Chadville,6313,PhD,Physics,0,1,1,0,1
193,uid000194,M,35-40,nurse,Dunn-Clark,West Kevinland,8973,Diploma,Healthcare,1,1,1,1,0
194,uid000195,M,25-30,nurse,Neal Inc,South Chelsea,94816,Diploma,Healthcare,0,0,0,1,0
195,uid000196,M,25-30,events_planner,Blake-Barrett,Lake Hayden,90369,Event Management Certification,Event Marketing,1,0,0,0,1
196,uid000197,F,35-40,social_worker,Waters Group,West Darren,14592,BA,Mental Health,0,0,0,0,0
197,uid000198,F,35-40,social_worker,"Smith, Fitzgerald and Martinez",Sanchezmouth,99455,BA,Policy Advocacy,0,0,1,1,0
198,uid000199,F,40-45,social_worker,"Johnson, Mcgee and Powell",Haysstad,74262,BBA,Community Outreach,0,0,1,0,1
199,uid000200,F,20-25,financial_analyst,Melendez-Perez,Lake Leah,7592,MBA,Financial Modeling,0,0,0,0,0
200,uid000201,F,25-30,doctor,Wilson-Murphy,Port Adamton,45025,MBBS,Oncology,0,1,0,1,0
201,uid000202,F,35-40,social_worker,"Reese, Sweeney and Jacobson",Lake Zoehaven,25100,BA,Family Services,0,0,1,1,0
202,uid000203,M,20-25,athlete,Moyer Ltd,Ellishaven,16602,Sports Training,Sports Nutrition,1,0,0,1,0
203,uid000204,F,30-35,journalist,Thomas-Morgan,Higginsshire,61199,MA Journalism,Data Journalism,1,0,0,1,0
204,uid000205,F,25-30,financial_analyst,Ayala Inc,New Kathrynfurt,71925,MBA,Valuation,0,1,1,1,0
205,uid000206,M,25-30,athlete,Norris-Thompson,West Phillip,12567,Sports Training,Sports Training,0,1,0,1,1
206,uid000207,F,40-45,doctor,Mccullough PLC,New Courtney,16526,MBBS,Endocrinology,0,1,0,1,1
207,uid000208,F,40-45,athlete,Cooper-Phillips,Lake Jessicamouth,25971,Sports Training,Sports Nutrition,1,1,1,1,1
208,uid000209,M,20-25,architect,Bush Ltd,Terryfurt,8522,MArch,Civil Engineering,1,1,0,1,1
209,uid000210,F,40-45,social_worker,Hamilton-Jones,Huntville,87286,BA,Mental Health,1,0,1,0,1
210,uid000211,F,40-45,teacher,Smith-Hodges,North Joseph,64377,MEd,Secondary Education,1,0,0,0,1
211,uid000212,F,25-30,mechanical_engineer,"Barker, Lewis and Edwards",East Maryville,26874,BE,Mechanical Design,1,0,0,0,1
212,uid000213,M,25-30,nurse,Stanley-Sutton,Lake Darryl,41621,Diploma,Healthcare,0,1,1,1,1
213,uid000214,M,20-25,financial_analyst,"Carter, Cook and Schmidt",South Miguelville,69531,BBA,Asset Allocation,1,0,1,1,1
214,uid000215,F,25-30,journalist,Haynes LLC,Davidhaven,80591,MA Journalism,Sports Journalism,0,0,1,1,0
215,uid000216,M,30-35,financial_analyst,Jones Inc,West Jacob,43483,BBA,Derivatives Analysis,1,1,0,1,0
216,uid000217,M,30-35,business_analyst,Hernandez-Gonzales,Padillaton,33003,BBA,Project Management,0,1,0,1,1
217,uid000218,M,40-45,journalist,Anderson-Jones,East Gabrielport,32314,BJMC,Feature Writing,0,1,0,1,1
218,uid000219,M,40-45,athlete,"Peterson, Baker and Taylor",Lisamouth,22509,Sports Training,Sports Training,1,1,0,0,1
219,uid000220,F,30-35,architect,"Wise, Carroll and Reynolds",Jonesfort,57491,BArch,Architecture,0,0,0,1,0
220,uid000221,F,35-40,mechanical_engineer,"Holt, Thompson and Lloyd",South Sandra,37928,MTech,Robotics,0,0,1,0,0
221,uid000222,M,20-25,marketing_manager,Mitchell LLC,New Mariaberg,16658,MBA,Advertising,0,1,0,0,0
222,uid000223,M,20-25,athlete,Carroll-Christian,Lake Stephen,53769,Sports Training,Sports Training,0,1,0,1,1
223,uid000224,F,35-40,social_worker,Hernandez Ltd,West Scottshire,67477,BA,Community Outreach,0,0,0,0,1
224,uid000225,F,25-30,graphic_designer,"Wright, Hopkins and Wright",Moorebury,99800,Diploma,Packaging Design,1,0,0,1,0
225,uid000226,F,20-25,graphic_designer,Young-Stokes,North Jill,71677,BFA,Web Design,1,0,0,1,0
226,uid000227,M,30-35,product_manager,Hoffman LLC,Lisafurt,64357,MBA,Product Strategy,0,1,1,0,0
227,uid000228,F,40-45,data_analyst,Kaiser-Robinson,West Benjamin,24876,MTech,Machine Learning,1,1,0,0,1
