,Title,Description,URL,Published At,Category,Image URL
10,Tiger Global-backed Battery Smart raises $33 Mn in pre Series B - Entrackr,,https://entrackr.com/2023/07/tiger-global-backed-battery-smart-raises-33-mn-in-pre-series-b/,2023-07-06T06:28:21Z,business,
11,Adani Wilmar climbs 1% on bargain buying - Moneycontrol,"The food and FMCG segment grew 30 percent YoY surpassing Rs 1,000 crore largely aided by sales of branded products in the domestic market",https://www.moneycontrol.com/news/business/earnings/adani-wilmar-climbs-1-on-bargain-buying-10912831.html,2023-07-06T06:08:05Z,business,https://images.moneycontrol.com/static-mcnews/2023/06/stocks5-10-770x433.jpg
12,Maruti Invicto vs Toyota Innova Hycross vs Kia Carens: Price Comparison - CarDekho,"The hybrid-only Maruti Invicto MPV undercuts the hybrid variants of the Innova Hycross, but that’s just a part of the bigger picture  The Maruti Invicto, which is based on the Toyota Innova Hycross, has gone on sale. It has become Maruti’s new flagship model,…",https://www.cardekho.com/india-car-news/maruti-invicto-vs-toyota-innova-hycross-vs-kia-carens-price-comparison-31094.htm,2023-07-06T06:07:00Z,business,https://stimg2.cardekho.com/images/carNewsimages/userimages/650X420/31093/1688625446989/GeneralNew.jpg
13,Made-in-India Volkswagen Taigun scores 5-star rating in Latin NCAP [Video] - CarToq.com,"After already achieving a perfect five-star rating in GNCAP crash tests, the Volkswagen Taigun has once again captured attention by receiving a five-star rating in Latin NCAP. The Latin NCAP crash test, conducted for new cars sold in Latin America and the Car…",https://www.cartoq.com/made-in-india-vw-taigun-scores-5-star-rating-in-latin-ncap-video/,2023-07-06T06:05:11Z,business,https://www.cartoq.com/wp-content/uploads/2023/07/vw-taigun-latin-ncap-1.jpg
14,Has Indian stock market topped out after hitting life-time high — explained | Mint - Mint,"Stock market today: Speculation arises if market has topped out, but experts believe rally will continue, led by FMCG and Capital Goods sectors",https://www.livemint.com/market/stock-market-news/has-indian-stock-market-topped-out-after-hitting-life-time-high-explained-11688622521631.html,2023-07-06T06:04:49Z,business,https://www.livemint.com/lm-img/img/2023/07/06/600x338/Stocks_to_buy_today_stock_market_news_Nifty_today_1688623020873_1688623021135.jpg
15,"Senco Gold IPO final day | Issue subscribed 25 times, QIB portion booked 43 times - Moneycontrol",Senco Gold IPO | The offer consists of a fresh issue of Rs 270 crore worth shares and an offer for sale of Rs 135 crore by investor SAIF Partners India IV.,https://www.moneycontrol.com/news/business/ipo/senco-gold-ipo-final-day-issue-subscribed-3-55-times-qib-portion-booked-27-10913841.html,2023-07-06T05:55:29Z,business,https://images.moneycontrol.com/static-mcnews/2023/07/SencoGold2-770x433.jpg
16,Godrej Properties hits 52-week high as Jefferies raises target price - Moneycontrol,"Godrej Properties' profitability should rise from less than 10 percent of pre-sales to over 15 percent, the brokerage firm has said. The stock has gained 57 percent since April",https://www.moneycontrol.com/news/business/stocks/godrej-properties-hits-52-week-high-as-jefferies-raises-target-price-10913131.html,2023-07-06T05:16:43Z,business,https://images.moneycontrol.com/static-mcnews/2023/05/Mumbai-real-estate-2-770x433-1-770x431.jpg
17,Over 32k Units Of Maruti SUVs Sold In June 2023 - Fronx To Vitara - GaadiWaadi.com,"Maruti Suzuki posted a combined volume of over 32,000 units with its SUV range in the month of June 2023 in India",https://gaadiwaadi.com/over-32k-units-of-maruti-suvs-sold-in-june-2023-fronx-to-vitara/,2023-07-06T05:08:39Z,business,https://gaadiwaadi.com/wp-content/uploads/2022/09/maruti-grand-vitara-7.jpg
18,Gold Slips After FOMC Minutes; XAU/USD Scenario Ahead of US Jobs Data - DailyFX,Gold slipped after minutes of the US Federal Reserve’s June meeting kept alive hopes of another rate hike at the end of July. How does XAU/USD look ahead of the key US jobs data on Friday?,https://www.dailyfx.com/news/gold-slips-after-fomc-minutes-xau-usd-scenario-ahead-of-us-jobs-data-20230706.html,2023-07-06T05:00:00Z,business,https://a.c-dn.net/b/4l5rzx/GOLD_03.JPG
19,Spotted! Aprilia RS440 to take on Yamaha R3 in India - Team-BHP,"Aprilia seems to be planning to take on the likes of the KTM RC 390 and the upcoming Yamaha R3 in India. The company has started testing the RS440 in the country, which suggests that the bike is in its advanced stages of development. The Aprilia RS440 is a fu…",https://www.team-bhp.com/news/spotted-aprilia-rs440-take-yamaha-r3-india,2023-07-06T04:41:29Z,business,https://www.team-bhp.com/sites/default/files/styles/large/public/aprilia-rs440-right-rear-three-quarter0.jpg
20,DCB Bank shares jump 8% after RBI gives nod to Tata AMC to raise stake - Economic Times,"We would like to inform you that the Bank has received an intimation from RBI on July 5, 2023, that it has granted its approval to Tata Asset Management Private Limited (TAMPL) to acquire aggregate holding of up to 7.5% of the paid-up equity capital of the Ba…",https://economictimes.indiatimes.com/markets/stocks/news/dcb-bank-shares-jump-8-after-rbi-gives-nod-to-tata-amc-to-raise-stake/articleshow/101532805.cms,2023-07-06T04:40:00Z,business,"https://img.etimg.com/thumb/msid-101532795,width-1070,height-580,imgsize-680454,overlay-etmarkets/photo.jpg"
21,"More fuel in pipeline for ITC's rip-roaring rally, but will the addiction last? - Economic Times","Now just when investors were getting worried about valuations, which are not dirt cheap anymore, and the fall in dividend yield to around 3% at current market prices, the bulls have found another reason to stick to their ground.",https://economictimes.indiatimes.com/markets/stocks/news/more-fuel-in-pipeline-for-itcs-rip-roaring-rally-but-will-the-addiction-last/articleshow/101532476.cms,2023-07-06T04:32:00Z,business,"https://img.etimg.com/thumb/msid-101532583,width-1070,height-580,imgsize-8906,overlay-etmarkets/photo.jpg"
22,"Tata Power shares gain nearly 3% on winning order worth Rs 1,744 crore - Moneycontrol","The value of project is Rs 1,744 crore and the project will be spanned over a period of 10 years.",https://www.moneycontrol.com/news/business/stocks/tata-power-shares-gain-nearly-3-on-winning-order-worth-rs-1744-crore-10911301.html,2023-07-06T04:12:59Z,business,https://images.moneycontrol.com/static-mcnews/2022/11/Tata-power-759x435.jpg
23,Hindustan Zinc to consider interim dividend for FY24; share price rises over 3% | Mint - Mint,"Shares of Hindustan Zinc rose as the company announced it will consider interim dividend on shares for FY24. In the March quarter, the company reported a decline in net profit and total sales. Vedanta has pledged almost its entire stake in Hindustan Zinc.",https://www.livemint.com/market/stock-market-news/hindustan-zinc-to-consider-interim-dividend-for-fy24-share-price-rises-over-3-11688616499296.html,2023-07-06T04:12:53Z,business,https://www.livemint.com/lm-img/img/2023/07/06/600x338/steel--621x414--621x414_1688616680111.jpg
24,Yes Bank shares extend gain on fifth day in a row. Should you buy in this rally? | Mint - Mint,"Yes Bank share has been in an uptrend and may reach  ₹20 in the near term, say stock market experts",https://www.livemint.com/market/stock-market-news/yes-bank-shares-extend-gain-on-fifth-day-in-a-row-should-you-buy-in-this-rally-11688615490549.html,2023-07-06T04:07:45Z,business,https://www.livemint.com/lm-img/img/2023/07/06/600x338/Yes_Bank_share_stock_market_news_today_1688616212242_1688616212411.JPG
25,"Hero, Bajaj go for Eicher’s jugular in battle to separate the boys from the men - Moneycontrol","Hero Motocorp is looking to dislodge Eicher’s complete dominance of the high-end bike segment with affordable Harley Davidsons. Bajaj is looking to do the same with Triumph. In this charged environment, analysts believe Eicher’s valuation is beginning to look…",https://www.moneycontrol.com/news/business/stocks/hero-bajaj-go-for-eichers-jugular-in-battle-to-separate-the-boys-from-the-men-10912671.html,2023-07-06T03:50:44Z,business,https://images.moneycontrol.com/static-mcnews/2022/11/8-royal-enfield-Super-Meteor-650-unveiled-770x433.jpg
26,Reliance Industries Q1 Profit To Drop On Weak Oil-To-Chemicals Business: BofA Securities - BQ Prime,Focus will be on the upcoming AGM in August as the group is known to make key announcements .,https://www.bqprime.com/business/reliance-industries-q1-profit-to-drop-16-on-weak-oil-to-chemicals-business-bofa-securities,2023-07-06T03:43:26Z,business,https://gumlet.assettype.com/bloombergquint%2F2023-07%2F2b82df07-92f6-4c3c-8de4-aec44d1b5522%2F2014_01_17T120000Z_986403081_GM1EA1H1L8B01_RTRMADP_3_RELIANCE_RESULTS.JPG?rect=0%2C290%2C2200%2C1155&w=1200&auto=format%2Ccompress&ogImage=true
27,Stocks to watch. Stocks that will see action today (July 6) - BusinessLine,"Stocks likely to see action on July 6, 2023, are Tata Power, Piramal Enterprises, JSW Steel, Nutricircle, DCB Bank, Solar Active Pharma,  Thomas Cook, RPP Infra, Bombay Dyeing, Hatsun Agro, GG Engineering",https://www.thehindubusinessline.com/markets/stocks-that-will-see-action-today-july-7/article67047970.ece,2023-07-06T03:24:33Z,business,https://bl-i.thgim.com/public/incoming/bdjf4z/article67026667.ece/alternates/LANDSCAPE_1200/PO02_Calendar_abstract.jpg
28,"Rs 3,240 crore order book: This micro-cap civil construction company receives orders worth Rs 289.30 crore! - Dalal Street Investment Journal",,https://families.google.com/service-restricted,2023-07-06T03:00:00Z,business,
29,Morning Scan: All the big stories to get you started for the day - Moneycontrol,A round-up of top newspaper stories to keep you ahead of others.,https://www.moneycontrol.com/news/business/morning-scan-all-the-big-stories-to-get-you-started-for-the-day-506-10912101.html,2023-07-06T02:14:53Z,business,https://images.moneycontrol.com/static-mcnews/2021/06/Morning-Scan-8-770x433.jpg
30,Is India's twin balance sheet problem over? - Finshots,An explainer on how the twin balance sheet problem may have morphed into the twin balance sheet advantage.,https://finshots.in/archive/is-indias-twin-balance-sheet-problem-over/,2023-07-06T01:33:03Z,business,https://cdn.finshots.app/images/2023/07/design-104-rupee.jpg
31,The bull market in India and other parts of the world is well and truly on: Shankar Sharma - Moneycontrol,"Shankar believes that the markets are forward looking and are comfortable with the notion that by the year end, we will approach the bottom of the current rate tightening cycle.",https://www.moneycontrol.com/news/business/markets/the-bull-market-in-india-and-other-parts-of-the-world-is-well-and-truly-on-shankar-sharma-10909581.html,2023-07-06T01:25:00Z,business,https://images.moneycontrol.com/static-mcnews/2023/02/Shankar-Sharma-A-770x433.jpg
32,Fed minutes reveal divisions over decision to pause in June - Moneycontrol,The minutes also showed that a large majority of policymakers — “almost all” — agreed that more tightening will likely be needed this year,https://www.moneycontrol.com/news/business/fed-minutes-reveal-divisions-over-decision-to-pause-in-june-10912011.html,2023-07-06T01:12:27Z,business,https://images.moneycontrol.com/static-mcnews/2023/03/396497885-770x433.jpg
33,"Hot Stocks | BHEL, Indiabulls Housing Finance, Divis Laboratories can give return up to 18% in short term,... - Moneycontrol","The Nifty is expected that the Nifty will likely continue to trade sideways, as long as it sustains within the range of 19,200 to 19,500, implying a range bound trades unless there is a directional breakout",https://www.moneycontrol.com/news/business/markets/hot-stocks-bhel-indiabulls-housing-finance-divis-laboratories-can-give-return-up-to-18-in-short-term-heres-why-10911791.html,2023-07-06T01:12:21Z,business,https://images.moneycontrol.com/static-mcnews/2023/06/stocks_in_news-1-770x433.jpg
34,Stock to buy today: Rashtriya Chemicals & Fertilizers (₹116.25) - BusinessLine,Rashtriya Chemicals & Fertilizers’ share price can rise to ₹122 over the next one-two weeks.,https://www.thehindubusinessline.com/markets/todays-pick/stock-to-buy-today-rashtriya-chemicals-fertilizers-11625/article67045090.ece,2023-07-06T00:59:35Z,business,https://bl-i.thgim.com/public/migration_catalog/kkovua/article19346481.ece/alternates/LANDSCAPE_1200/ALL1MarkwatchG3B1OAT2F3jpgjpg
35,"After TCS, Tata Steel sacks 35 for breach of ethical code - Indiatimes.com","India Business News: MUMBAI: Days after Tatas' crown jewel TCS sacked six employees in the bribes-for-jobs scandal, another group company, Tata Steel, has given the boot t.",https://timesofindia.indiatimes.com/business/india-business/after-tcs-tata-steel-sacks-35-for-breach-of-ethical-code/articleshow/101528068.cms,2023-07-06T00:50:00Z,business,"https://static.toiimg.com/thumb/msid-101528098,width-1070,height-580,imgsize-1275966,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"
36,Adani promoters may pare more stake in group companies - Economic Times,"The promoters of the Adani Group, led by Gautam Adani, plan to continue reducing their holdings in group companies to build a liquidity buffer that can be used to tap new opportunities and invest in other business units. They have already sold stakes to GQG P…",https://economictimes.indiatimes.com/markets/stocks/news/adani-promoters-may-pare-more-stake-in-group-companies/articleshow/101527990.cms,2023-07-06T00:40:00Z,business,"https://img.etimg.com/thumb/msid-101528043,width-1070,height-580,imgsize-4820,overlay-etmarkets/photo.jpg"
37,Jio likely to sign 5G gear deal with Nokia for $1.7 billion - Economic Times,Reliance Jio Infocomm is set to sign a $1.7bn deal with Nokia this week to purchase 5G network equipment. This follows the $2.1bn worth of equipment ordered by the Indian telecom operator from Ericsson in its attempt to roll out 5G across India this year. The…,https://economictimes.indiatimes.com/industry/telecom/telecom-news/jio-likely-to-sign-5g-gear-deal-with-nokia-for-1-7-billion/articleshow/101527984.cms,2023-07-06T00:40:00Z,business,"https://img.etimg.com/thumb/msid-101528243,width-1070,height-580,imgsize-91982,overlay-economictimes/photo.jpg"
38,"Jindal Steel, TVS Motor, PNB among new large-cap stocks - Economic Times","In a list released by AMFI on Wednesday, companies such as FSN E-Commerce (Nykaa), JSW Energy, Tata Elxsi, Indus Towers, and Page Industries were downgraded from large-cap to mid-cap.",https://economictimes.indiatimes.com/markets/stocks/news/jindal-steel-tvs-motor-pnb-among-new-large-cap-stocks/articleshow/101527877.cms,2023-07-06T00:21:00Z,business,"https://img.etimg.com/thumb/msid-101527898,width-1070,height-580,imgsize-37200,overlay-etmarkets/photo.jpg"
39,Life after merger: HDFC twins have smartly rewarded investors. Can the joint entity repeat the feat? - Economic Times,"The growth in unsecured loans is expected to boost HDFC Banks margins as they are high-yielding though risky. However, the lenders underwriting standards, track record, and benign credit quality environment give comfort to investors on the asset quality front.",https://economictimes.indiatimes.com/prime/money-and-markets/life-after-merger-hdfc-twins-have-smartly-rewarded-investors-can-the-joint-entity-repeat-the-feat/primearticleshow/101522438.cms,2023-07-05T20:30:00Z,business,"https://img.etimg.com/thumb/msid-101522422,width-1070,height-580,imgsize-105092/photo.jpg"
40,This was Deepak Parekh's salary when he joined HDFC 45 years ago! - Mint,"According to the offer letter, Parekh was offered a basic salary of  ₹3,500 plus  ₹500 as a fixed Dearness Allowance.",https://www.livemint.com/market/stock-market-news/hdfchdfc-bank-merger-deepak-parekh-salary-when-he-joined-hdfc-45-years-ago-offer-letter-goes-viral-11688572920723.html,2023-07-05T16:22:38Z,business,https://www.livemint.com/lm-img/img/2023/07/05/600x338/2-0-128972098--ABH0072-0_1681875368178_1688573258552.JPG
41,"After BPCL, IOC announces rights issue - Economic Times","As part of its energy-transition goals, BPCL is also looking to expand its renewable power generation portfolio to 1GW by 2025 and 10GW by 2040, from 50MW currently. IOC is also looking to expand its renewable energy portfolio substantially from the current l…",https://economictimes.indiatimes.com/markets/stocks/news/after-bpcl-ioc-announces-rights-issue/articleshow/101522630.cms,2023-07-05T15:47:00Z,business,"https://img.etimg.com/thumb/msid-101522666,width-1070,height-580,imgsize-18990,overlay-etmarkets/photo.jpg"
42,"India in talks to supply green hydrogen to EU, Singapore: Report - Moneycontrol","Under the plan, EU businesses could invest in the projects in India and claim carbon credits, one of the officials, who attended a meeting that took place on Wednesday in New Delhi, said.",https://www.moneycontrol.com/news/business/india-in-talks-to-supply-10-million-tonnes-of-green-hydrogen-to-eu-10909951.html,2023-07-05T13:49:55Z,business,https://images.moneycontrol.com/static-mcnews/2023/01/green-hydrogen-MC-770x433.jpg
43,Honda Elevate SUV: Variant wise-features with expected price list explained - Indiatimes.com,"Cars News: The Elevate SUV will be available in four variants - SV, V, VX, and ZX variants and the Automatic transmission will only be available in V, VX and ZX",https://timesofindia.indiatimes.com/auto/cars/honda-elevate-suv-variant-wise-features-with-expected-price-list-explained/articleshow/101496308.cms,2023-07-05T13:45:00Z,business,"https://static.toiimg.com/thumb/msid-101496307,width-1070,height-580,imgsize-972961,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"
44,JSW Steel to replace HDFC in 30-share S&P BSE Sensex from Jul 13 - Business Standard,"In S&P BSE 500, JBM Auto Components Ltd will replace HDFC and in S&P BSE 100, Zomato will be included in place of the mortgage lender",https://www.business-standard.com/markets/news/jsw-steel-to-replace-hdfc-in-30-share-s-p-bse-sensex-from-jul-13-post-123070500726_1.html,2023-07-05T13:29:20Z,business,https://bsmedia.business-standard.com/_media/bs/img/article/2023-02/19/full/1676817940-8267.jpg
45,ONDC goes beta live in five additional cities - Economic Times,"Along with Bengaluru and Meerut, which went Beta live in September 2022 and December 2022, respectively, the network is now accessible to buyers (consumers) and sellers in these additional five cities. Consumers will be able to purchase from the sellers on th…",https://economictimes.indiatimes.com/tech/technology/ondc-goes-beta-live-in-five-additional-cities/articleshow/101520079.cms,2023-07-05T13:07:00Z,business,"https://img.etimg.com/thumb/msid-101520300,width-1070,height-580,imgsize-429324,overlay-ettech/photo.jpg"
46,Triumph Speed 400 - The Rs 2.33 lakh made for India Triumph ft. Scrambler 400 X | Autocar India - Autocar India,Rishaad Mody introduces you to the made-for-India and made-in-India Triumph motorcycles - Triumph Speed 400 and Scrambler 400 X. Cameraperson: Sharad Veghada...,https://www.youtube.com/watch?v=K6P11Kqu3ss,2023-07-05T12:39:06Z,business,https://i.ytimg.com/vi/K6P11Kqu3ss/maxresdefault.jpg
47,"Breakout Stocks: How MRPL, Samvardhana Motherson and RBL Bank are looking on charts for Thursday - Economic Times","RBL Bank share price gains over 4% due to substantial growth in deposits and advances; MRPL gains 12% giving a handsome pole and flag breakout above Rs 81, forming a pattern that may see a target of Rs 92-93. Samvardhana Motherson International opens gap up, …",https://economictimes.indiatimes.com/markets/stocks/news/breakout-stocks-how-mrpl-samvardhana-motherson-and-rbl-bank-are-looking-on-charts-for-thursday/articleshow/101519448.cms,2023-07-05T12:34:00Z,business,"https://img.etimg.com/thumb/msid-101519654,width-1070,height-580,imgsize-48274,overlay-etmarkets/photo.jpg"
48,"KEC International wins Rs 1,042 crore orders, expands railway business - Moneycontrol","In the Transmission &amp; Distribution business, KEC said it has received orders for &quot;projects in India, Middle East, Europe and the United States&quot;.",https://www.moneycontrol.com/news/business/kec-international-wins-rs-1042-crore-orders-expands-railway-business-10909651.html,2023-07-05T11:37:23Z,business,https://images.moneycontrol.com/static-mcnews/2020/04/KEC-INTERNATIONAL-770x433.jpg
49,"IRFC, Dish TV, 7 others cross 50-day SMA - Economic Times","The 50 SMA is a key technical indicator that provides insights into a stock's short-term trend. When a stock's price closes above its 50 SMA, it often indicates positive momentum and potential for further upside.",https://economictimes.indiatimes.com/markets/stocks/news/irfc-dish-tv-7-others-cross-50-day-sma/articleshow/101514889.cms,2023-07-05T10:19:00Z,business,"https://img.etimg.com/thumb/msid-101515299,width-1070,height-580,imgsize-38152,overlay-etmarkets/photo.jpg"
50,India negotiates cross-border CBDC payments with global central banks - Cointelegraph,Banks from 18 countries have already opened rupee vostro accounts since July 2022.,https://cointelegraph.com/news/india-central-bank-negotiates-cross-border-cbdc-payments-with-digital-rupee,2023-07-05T10:17:22Z,business,https://images.cointelegraph.com/images/1200_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjMtMDcvZmVlMzhjMTctNjkwMS00NDI3LWI3MGQtOGM4MjFiMjQzMDIzLmpwZw==.jpg
51,IDFC to Merge with IDFC First Bank. What Does it Mean for Investors? - Equitymaster,Here you will find all the research and views that we post on Equitymaster. Use the tools to customize the results to suit your preference!,https://www.equitymaster.com/archives.asp,2023-07-05T10:15:17Z,business,
52,"MC Investigates: The two big, illegal reasons why finfluencers don't want to be SEBI-registered RAs - Moneycontrol","There are lakhs to be made off retail investors, but only if these entities do not register themselves",https://www.moneycontrol.com/news/business/markets/mc-investigates-the-two-big-illegal-reasons-why-finfluencers-dont-want-to-be-sebi-registered-ras-10909281.html,2023-07-05T10:09:07Z,business,https://images.moneycontrol.com/static-mcnews/2023/06/guerrillabuzz-SYofhg_IX3A-unsplash-1-770x433.jpg
53,Jio Bharat phone sale in India to start July 7: Look back at every Jio phone ever launched - The Financial Express,Jio has redefined the features phones in India by bringing phones that come with smart capabilities.,https://www.financialexpress.com/life/technology-jio-bharat-phone-sale-in-india-to-start-july-7-look-back-at-every-jio-phone-ever-launched-3157078/,2023-07-05T10:02:23Z,business,https://www.financialexpress.com/wp-content/uploads/2023/07/jio-bharat-edited-1.jpg
54,Wall Street slips as investors await Fed minutes By Reuters - Investing.com,Wall Street posts modest loss after Fed minutes,https://www.investing.com/news/stock-market-news/wall-street-futures-slip-as-fed-minutes-loom-3119722,2023-07-05T09:59:00Z,business,https://i-invdn-com.investing.com/news/LYNXMPEA5T0IM_L.jpg
55,"Aarti Drug, ABB India among 10 stocks with Golden Crossover pattern. Know what it signifies? - Economic Times",The Golden Crossover is a technical signal generated when the short-term moving average (such as the 50-day simple moving average) crosses above the long-term moving average (such as the 200-day simple moving average). This event signifies a shift in investor…,https://economictimes.indiatimes.com/markets/stocks/news/aarti-drug-abb-india-among-10-stocks-with-golden-crossover-pattern-know-what-it-signifies/articleshow/101511731.cms,2023-07-05T08:38:00Z,business,"https://img.etimg.com/thumb/msid-101511789,width-1070,height-580,imgsize-95072,overlay-etmarkets/photo.jpg"
56,From HDFC Bank to Apollo Pipes: Yes Securities' recommends these top stocks to buy for July; See full list | Mint - Mint,"Amar Ambani of Yes Securities recommends HDFC Bank, HCL Technologies, Metropolis Healthcare, Orient Cement, and Apollo Pipes as top stocks to buy in July.",https://www.livemint.com/market/stock-market-news/hdfc-bank-hcl-technologies-to-apollo-pipes-yes-securities-recommends-these-five-stocks-for-july-11688538798922.html,2023-07-05T07:28:48Z,business,https://www.livemint.com/lm-img/img/2023/07/05/600x338/2-0-843435878-dice-0_1679654467280_1688541103985.jpg
57,Mojocare stares at shutdown amid scrutiny over financial irregularities - Entrackr,Healthtech startup Mojocare is staring at shutdown as its investors do not see any meaningful sell-out option.,https://entrackr.com/2023/07/mojocare-stares-at-shutdown-amid-scrutiny-over-financial-irregularities/,2023-07-05T07:14:10Z,business,https://entrackr.com/storage/2022/07/mojocare.jpg
58,Suzlon Energy shares hit 5% lower circuit after 7 days non-stop rally - Economic Times,"On a year-to-date basis, the stock advanced 63%, whereas, in the last month, it has risen over 52% and has rallied over 185% in the past year.",https://economictimes.indiatimes.com/markets/stocks/news/suzlon-energy-shares-hit-5-lower-circuit-after-7-days-non-stop-rally/articleshow/101508766.cms,2023-07-05T07:09:00Z,business,"https://img.etimg.com/thumb/msid-101508781,width-1070,height-580,imgsize-1240328,overlay-etmarkets/photo.jpg"
59,Kia Seltos facelift in a walk-around video - CarToq.com,"Kia recently unveiled the updated Seltos facelift, intensifying the competition in the midsize SUV segment. The Seltos was already a popular model, and with these updates, it is set to become an even stronger seller. A walkaround video of the new Kia Seltos f…",https://www.cartoq.com/kia-seltos-facelift-in-a-walk-around-video/,2023-07-05T06:05:15Z,business,https://www.cartoq.com/wp-content/uploads/2023/07/kia-seltos-1.jpg
60,PKH Ventures IPO cancelled; second public issue of 2023 to be withdrawn - Moneycontrol,The moves makes it the second public issue to be withdrawn this year. The IPO received bids for only 65 percent of the total offer size.,https://www.moneycontrol.com/news/business/ipo/pkh-ventures-ipo-cancelled-second-public-issue-of-2023-to-be-withdrawn-10907091.html,2023-07-05T05:46:33Z,business,https://images.moneycontrol.com/static-mcnews/2022/12/IPO1-696x435.jpg
